"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$587,509,839,852","$30,747.00","19,055,481","$28,141,316,736","-4.43 %",2022-06-01 16:10:19
2,"Ethereum","$228,395,497,344","$1,873.89","121,009,466","$16,579,814,631","-6.08 %",2022-06-01 16:10:19
3,"Tether","$72,652,688,870","$1.00","72,538,449,554","$49,144,774,739","0.02 %",2022-06-01 16:10:19
4,"USD Coin","$54,043,583,726","$1.00","53,994,207,205","$5,237,842,427","0.02 %",2022-06-01 16:10:19
5,"BNB","$51,582,297,307","$305.49","168,137,036","$1,718,708,119","-5.34 %",2022-06-01 16:10:19
6,"XRP","$19,801,052,620","$0.41","48,343,101,197","$1,306,423,300","-2.50 %",2022-06-01 16:10:19
7,"Cardano","$19,515,801,605","$0.57","33,820,262,544","$1,363,729,500","-10.61 %",2022-06-01 16:10:19
8,"Binance USD","$18,229,958,397","$1.00","18,206,320,284","$5,807,554,465","-0.16 %",2022-06-01 16:10:19
9,"Solana","$14,634,275,871","$42.99","339,963,437","$1,319,468,034","-7.81 %",2022-06-01 16:10:19
10,"Polkadot","$11,269,393,245","$10.01","1,117,792,308","$546,105,101","-4.19 %",2022-06-01 16:10:19
11,"Dogecoin","$11,238,789,990","$0.08","132,670,764,300","$699,807,866","-1.94 %",2022-06-01 16:10:19
12,"Wrapped Bitcoin","$8,436,877,361","$30,782.00","273,702","$309,283,893","-4.18 %",2022-06-01 16:10:19
13,"TRON","$8,284,287,961","$0.09","93,226,829,436","$1,811,152,127","8.70 %",2022-06-01 16:10:19
15,"Avalanche","$6,744,649,439","$24.81","271,404,897","$579,518,765","-8.72 %",2022-06-01 16:10:19
16,"Dai","$6,399,481,854","$1.00","6,386,583,326","$239,380,272","0.01 %",2022-06-01 16:10:19
17,"Shiba Inu","$6,231,866,390","$0.00","549,146,987,315,510","$343,402,953","-5.08 %",2022-06-01 16:10:19
18,"Litecoin","$4,663,488,184","$65.90","70,412,021","$592,735,993","-4.67 %",2022-06-01 16:10:19
19,"Cronos","$4,645,629,058","$0.18","25,263,013,692","$26,361,400","-4.32 %",2022-06-01 16:10:19
20,"LEO Token","$4,627,454,696","$4.96","935,788,829","$3,251,598","-6.91 %",2022-06-01 16:10:19
21,"Polygon","$4,289,241,200","$0.62","6,872,890,164","$379,320,344","-7.87 %",2022-06-01 16:10:19
22,"NEAR Protocol","$3,943,673,224","$5.62","702,306,683","$405,915,390","-7.89 %",2022-06-01 16:10:19
23,"FTX Token","$3,771,234,340","$27.58","136,045,993","$71,434,200","-6.11 %",2022-06-01 16:10:19
24,"Bitcoin Cash","$3,706,907,740","$195.40","19,079,037","$954,484,905","-1.63 %",2022-06-01 16:10:19
25,"Monero","$3,596,518,043","$197.40","18,128,967","$173,849,012","0.31 %",2022-06-01 16:10:19
26,"Stellar","$3,540,928,379","$0.14","24,926,765,938","$222,612,523","-5.30 %",2022-06-01 16:10:19
27,"Chainlink","$3,380,711,247","$7.18","467,009,550","$398,042,477","-5.45 %",2022-06-01 16:10:19
28,"Ethereum Classic","$3,101,533,225","$22.82","135,063,968","$315,022,904","-4.54 %",2022-06-01 16:10:19
30,"OKB","$3,083,691,677","$11.81","260,143,734","$5,438,043","-4.51 %",2022-06-01 16:10:19
31,"Cosmos Hub","$2,919,172,238","$9.92","292,586,164","$245,609,000","-5.92 %",2022-06-01 16:10:19
32,"Algorand","$2,763,997,730","$0.40","6,867,169,637","$150,541,216","-3.61 %",2022-06-01 16:10:19
33,"Flow","$2,674,606,506","$2.57","1,036,200,000","$46,195,498","-7.36 %",2022-06-01 16:10:19
34,"Uniswap","$2,484,853,040","$5.41","456,489,583","$129,181,779","-6.82 %",2022-06-01 16:10:19
35,"VeChain","$2,151,777,327","$0.03","66,760,741,299","$221,141,353","-4.15 %",2022-06-01 16:10:19
36,"Hedera","$1,970,213,963","$0.09","21,084,620,884","$36,686,829","-3.50 %",2022-06-01 16:10:19
38,"Theta Fuel","$1,886,178,774","$0.06","0","$76,644,570","1.97 %",2022-06-01 16:10:19
39,"Internet Computer","$1,879,954,347","$7.92","234,149,117","$93,268,734","-4.74 %",2022-06-01 16:10:19
40,"Tezos","$1,812,501,867","$2.03","888,871,830","$91,070,005","-4.81 %",2022-06-01 16:10:19
41,"Elrond","$1,769,000,180","$78.68","22,437,656","$71,712,914","-5.81 %",2022-06-01 16:10:19
42,"Axie Infinity","$1,757,883,643","$21.79","80,079,319","$368,942,282","-11.96 %",2022-06-01 16:10:19
44,"KuCoin","$1,685,027,996","$17.13","97,984,145","$7,833,015","-2.93 %",2022-06-01 16:10:19
45,"Filecoin","$1,646,568,941","$7.69","212,832,505","$175,780,293","-5.56 %",2022-06-01 16:10:19
46,"Aave","$1,599,182,420","$113.83","13,881,315","$298,951,637","-4.79 %",2022-06-01 16:10:19
47,"Decentraland","$1,529,077,603","$1.01","1,495,342,166","$225,978,671","-7.36 %",2022-06-01 16:10:19
49,"cETH","$1,411,933,693","$37.64","37,288,372","$201","-6.03 %",2022-06-01 16:10:19
50,"EOS","$1,315,106,880","$1.31","996,365,287","$353,064,807","-4.72 %",2022-06-01 16:10:19
51,"Theta Network","$1,278,312,639","$1.27","1,000,000,000","$116,473,042","-6.25 %",2022-06-01 16:10:19
52,"TrueUSD","$1,260,043,176","$1.00","1,260,753,681","$101,348,047","-0.22 %",2022-06-01 16:10:19
53,"Klaytn","$1,231,852,504","$0.43","2,842,856,969","$38,797,441","-3.47 %",2022-06-01 16:10:19
55,"cUSDC","$1,174,625,812","$0.02","51,940,296,766","$98","0.15 %",2022-06-01 16:10:19
56,"Zcash","$1,153,700,370","$91.89","12,504,860","$131,307,427","-3.17 %",2022-06-01 16:10:19
58,"Maker","$1,136,174,679","$1,246.76","901,311","$60,689,428","-6.95 %",2022-06-01 16:10:19
59,"Huobi","$1,096,524,069","$7.06","154,885,159","$36,216,631","-1.64 %",2022-06-01 16:10:19
60,"The Graph","$1,065,907,239","$0.15","6,929,620,630","$114,789,069","-3.62 %",2022-06-01 16:10:19
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2022-06-01 16:10:19
62,"Bitcoin SV","$1,014,955,595","$53.03","19,075,070","$81,161,455","-2.72 %",2022-06-01 16:10:19
63,"IOTA","$978,096,184","$0.35","2,779,530,283","$34,138,383","-1.88 %",2022-06-01 16:10:19
64,"Fantom","$975,791,539","$0.38","2,541,152,731","$286,855,377","-7.52 %",2022-06-01 16:10:19
65,"Pax Dollar","$957,763,030","$1.00","956,150,126","$24,586,944","0.15 %",2022-06-01 16:10:19
66,"eCash","$953,275,467","$0.00","19,075,067,173,303","$16,329,319","-1.97 %",2022-06-01 16:10:19
67,"Waves","$947,449,592","$9.42","100,000,000","$2,436,149,944","5.19 %",2022-06-01 16:10:19
68,"Quant","$924,226,648","$68.26","13,413,953","$38,498,686","-6.35 %",2022-06-01 16:10:19
69,"Helium","$914,159,055","$9.00","100,539,362","$19,109,016","-3.77 %",2022-06-01 16:10:19
70,"THORChain","$883,737,449","$2.92","300,755,175","$121,154,780","-12.79 %",2022-06-01 16:10:19
73,"GateToken","$828,704,175","$5.45","151,758,802","$3,213,701","-3.87 %",2022-06-01 16:10:19
74,"NEO","$822,655,567","$11.58","70,530,000","$148,933,334","-0.64 %",2022-06-01 16:10:19
75,"Terra Luna Classic","$768,841,921","$0.00","0","$262,423,397","-17.29 %",2022-06-01 16:10:19
76,"Zilliqa","$763,042,757","$0.05","14,398,876,651","$207,926,508","-4.36 %",2022-06-01 16:10:19
77,"Kusama","$743,703,147","$80.03","8,980,098","$166,350,275","3.53 %",2022-06-01 16:10:19
78,"PancakeSwap","$729,630,932","$4.38","166,030,916","$68,850,937","-6.59 %",2022-06-01 16:10:19
79,"cDAI","$727,803,592","$0.02","33,023,717,927","$0","0.24 %",2022-06-01 16:10:19
80,"Arweave","$712,846,562","$14.03","50,108,502","$24,038,203","-7.83 %",2022-06-01 16:10:19
